Make_Year,Brand,Transmission,xMiles,Price,Owner_Count,Engine_cc,Fuel_Type,Color,Service_History,Accidents_Reported,Insurance_Valid,MileageCategory,Mileage
1995,Kia,Manual,17,"$9,252 ",4,"5,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"17,470"
1995,Nissan,Manual,19,"$2,973 ",4,800,Petrol,Blue,Full,0,Yes,Between 10k and 20k,"19,190"
1996,Chevrolet,Manual,19,"$6,099 ",4,"4,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,240"
1996,Chevrolet,Manual,16,"$3,294 ",4,"1,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,320"
1996,Toyota,Manual,15,"$1,000 ",4,"1,200",Petrol,Red,Full,0,Yes,Between 10k and 20k,"14,880"
1996,Volkswagen,Manual,18,"$8,622 ",4,"5,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"17,590"
1996,Kia,Manual,7,"$7,715 ",4,"5,000",Petrol,Black,Full,0,Yes,Less than 10k,"7,020"
1997,Kia,Manual,16,"$2,712 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"16,010"
1997,Kia,Manual,11,"$1,047 ",4,"1,200",Petrol,Black,Full,0,Yes,Between 10k and 20k,"10,760"
1997,Chevrolet,Manual,20,"$1,382 ",4,"1,800",Petrol,Red,Full,0,Yes,Between 20k and 30k,"20,130"
1997,Volkswagen,Manual,11,"$3,494 ",4,"1,500",Petrol,White,Full,0,Yes,Between 10k and 20k,"11,220"
1997,Chevrolet,Manual,14,"$1,557 ",4,800,Petrol,Blue,Full,0,Yes,Between 10k and 20k,"13,590"
1998,Chevrolet,Manual,15,"$1,000 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"15,020"
1998,Hyundai,Manual,10,"$2,691 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 10k and 20k,"10,160"
1998,Kia,Manual,16,"$2,424 ",4,"1,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"15,980"
1998,Ford,Manual,20,"$2,684 ",4,"1,200",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,750"
1999,Toyota,Manual,17,"$3,651 ",4,"1,200",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,720"
1999,Toyota,Manual,23,"$5,276 ",4,"2,000",Petrol,Black,Full,0,Yes,Between 20k and 30k,"22,760"
1999,Nissan,Manual,20,"$8,897 ",4,"5,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"20,020"
1999,Chevrolet,Manual,13,"$3,010 ",4,800,Petrol,White,Full,0,Yes,Between 10k and 20k,"12,650"
1999,Ford,Manual,10,"$7,366 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"10,400"
1999,BMW,Manual,16,"$4,288 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,090"
2000,Kia,Manual,22,"$7,896 ",4,"4,000",Petrol,Black,Full,0,Yes,Between 20k and 30k,"21,840"
2000,Honda,Manual,17,"$9,168 ",4,"5,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"16,750"
2000,Nissan,Manual,12,"$6,798 ",4,"3,000",Petrol,White,Full,0,Yes,Between 10k and 20k,"12,390"
2000,Volkswagen,Manual,21,"$2,656 ",4,"1,200",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"20,860"
2000,BMW,Manual,28,"$6,713 ",4,"2,000",Petrol,White,Full,0,Yes,Between 20k and 30k,"27,770"
2000,Nissan,Manual,14,"$4,959 ",4,"2,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"13,640"
2000,Ford,Manual,24,"$7,185 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"24,050"
2000,Volkswagen,Manual,21,"$3,386 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"21,240"
2000,Ford,Manual,17,"$8,074 ",4,"4,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"17,370"
2001,Chevrolet,Manual,20,"$2,872 ",4,"1,000",Petrol,White,Full,0,Yes,Between 20k and 30k,"20,110"
2001,BMW,Manual,18,"$8,887 ",4,"4,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"18,200"
2001,Volkswagen,Manual,17,"$3,539 ",4,"1,500",Petrol,Black,Full,0,Yes,Between 10k and 20k,"16,810"
2002,Ford,Manual,26,"$6,563 ",4,"3,000",Petrol,White,Full,0,Yes,Between 20k and 30k,"26,000"
2002,Nissan,Manual,23,"$1,888 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"22,790"
2002,Chevrolet,Manual,22,"$5,563 ",4,"1,800",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"21,530"
2002,BMW,Manual,17,"$3,035 ",4,"1,200",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,520"
2002,Ford,Manual,21,"$4,259 ",4,"1,200",Petrol,Blue,Full,0,Yes,Between 20k and 30k,"20,730"
2002,Volkswagen,Manual,8,"$1,000 ",4,800,Petrol,Silver,Full,0,Yes,Less than 10k,"8,410"
2003,Kia,Manual,19,"$3,470 ",4,800,Petrol,Red,Full,0,Yes,Between 10k and 20k,"18,820"
2004,Chevrolet,Manual,15,"$5,439 ",4,"3,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"14,510"
2004,Honda,Manual,15,"$2,643 ",4,800,Petrol,Blue,Full,0,Yes,Between 10k and 20k,"14,670"
2004,Nissan,Manual,28,"$8,033 ",4,"2,000",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"27,730"
2004,Volkswagen,Manual,19,"$3,636 ",4,"1,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"19,180"
2004,Toyota,Manual,21,"$5,670 ",4,"2,500",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"21,350"
2005,Kia,Manual,13,"$4,322 ",4,"1,500",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"12,930"
2005,Nissan,Manual,12,"$5,917 ",4,"1,800",Petrol,White,Full,0,Yes,Between 10k and 20k,"12,460"
2005,Volkswagen,Manual,18,"$4,861 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 10k and 20k,"18,080"
2005,Volkswagen,Manual,5,"$5,401 ",4,"3,000",Petrol,Gray,Full,0,Yes,Less than 10k,"5,000"
2005,Chevrolet,Manual,15,"$2,838 ",4,"1,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"14,930"
2006,Chevrolet,Manual,15,"$3,854 ",4,"1,500",Petrol,Red,Full,0,Yes,Between 10k and 20k,"15,240"
2006,Honda,Manual,16,"$4,281 ",4,"1,500",Petrol,Black,Full,0,Yes,Between 10k and 20k,"16,060"
2007,Ford,Manual,18,"$7,821 ",4,"2,500",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"17,710"
2007,Honda,Manual,23,"$4,964 ",4,"1,200",Petrol,Silver,Full,0,Yes,Between 20k and 30k,"22,910"
2007,Nissan,Manual,16,"$3,989 ",4,"1,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"15,630"
2008,Ford,Manual,14,"$3,500 ",4,"1,200",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"14,290"
2008,Chevrolet,Manual,14,"$4,535 ",4,"1,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"14,260"
2008,Toyota,Manual,20,"$8,887 ",4,"3,000",Petrol,Gray,Full,0,Yes,Between 10k and 20k,"19,710"
2008,BMW,Manual,20,"$7,874 ",4,"3,000",Petrol,Red,Full,0,Yes,Between 20k and 30k,"20,020"
2008,Ford,Manual,14,"$3,453 ",4,"1,800",Petrol,Black,Full,0,Yes,Between 10k and 20k,"14,140"
2008,Nissan,Manual,17,"$6,913 ",4,"2,500",Petrol,White,Full,0,Yes,Between 10k and 20k,"16,560"
2008,Ford,Manual,13,"$5,591 ",4,"2,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"12,900"
2009,Honda,Manual,27,"$6,656 ",4,"1,000",Petrol,Black,Full,0,Yes,Between 20k and 30k,"27,220"
2009,Nissan,Manual,17,"$7,756 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"17,310"
2009,Honda,Manual,23,"$5,241 ",4,"1,200",Petrol,Gray,Full,0,Yes,Between 20k and 30k,"22,910"
2009,Chevrolet,Manual,16,"$9,677 ",4,"4,000",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"16,480"
2010,Hyundai,Manual,20,"$6,179 ",4,"1,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,780"
2010,Chevrolet,Manual,19,"$4,958 ",4,"1,500",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"19,070"
2011,BMW,Manual,21,"$5,859 ",4,"2,500",Petrol,White,Full,0,Yes,Between 20k and 30k,"21,100"
2011,Ford,Manual,17,"$7,638 ",4,"5,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"16,890"
2011,Toyota,Manual,29,"$8,014 ",4,"2,500",Petrol,White,Full,0,Yes,Between 20k and 30k,"29,100"
2012,Hyundai,Manual,15,"$7,840 ",4,"3,000",Petrol,Silver,Full,0,Yes,Between 10k and 20k,"15,030"
2012,Toyota,Manual,16,"$7,135 ",4,"4,000",Petrol,Red,Full,0,Yes,Between 10k and 20k,"16,180"
2012,Honda,Manual,21,"$4,229 ",4,800,Petrol,White,Full,0,Yes,Between 20k and 30k,"20,580"
2012,Chevrolet,Manual,18,"$6,527 ",4,"1,800",Petrol,Blue,Full,0,Yes,Between 10k and 20k,"18,100"
2012,Kia,Manual,22,"$4,741 ",4,"1,500",Petrol,Black,Full,0,Yes,Between 20k and 30k,"22,310"
